Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Chlorides,Free SO2,Total SO2,pH,Alcohol,Quality Grade
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,A
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,A
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,A
3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,A
3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,A
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,A
2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,A
2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,A
2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,A
3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,A
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,A
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,A
